gene	transcript	n_transcript	n_gene
LOC105376805	NR_135058.1,NR_135057.1,NR_135056.1,NR_135059.1	4	1
MFAP2	NM_017459.2,NM_002403.4,NM_001135247.1,NM_001135248.1	4	1
ATP13A2	NM_022089.4,NM_001141973.3,NM_001141974.3	3	1
RCC2	NM_018715.4,NM_001136204.3	2	1
ARHGEF10L	NM_018125.4,NR_137288.2,NR_137287.2,NM_001319837.1,NM_001011722.2,NM_001319838.1,NM_001328124.1	7	1
PAX7	NM_001135254.2,NM_013945.3,NM_002584.3	3	1
ALDH4A1	NM_001319218.1,NM_170726.3,NM_001161504.1,NM_003748.4	4	1
EMC1-AS1	NR_135115.1,NR_135114.1	2	1
EMC1	NM_001271428.2,NM_015047.3,NM_001271427.2,NM_001271429.2	4	1
AKR7L	NR_040288.2,NR_040289.2	2	1
AKR7A2	NM_001320979.1,NM_003689.3	2	1
SLC66A1	NM_017765.3,NR_109848.2,NM_001287531.2,NM_001040125.2,NM_001040126.2	5	1
CAPZB	NM_001206541.3,NM_004930.5,NM_001282162.2,NM_001206540.3,NM_001313932.2	5	1
MICOS10+MICOS10-NBL1+NBL1	NM_001204082.1,NM_001032363.4,NM_001204089.2,NR_033757.3,NR_033758.3,NM_001204083.2,NM_001204088.2,NM_182744.3,NM_001278164.1,NM_001278165.1,NM_001204084.2,NM_005380.8,NM_001204085.1,NM_001204086.2,NM_001278166.1	15	3
TMCO4	NM_001349113.2,NM_001349114.2,NM_001349112.2,NM_181719.6,NM_001349115.1	5	1
PLA2G2A	NM_001161729.1,NM_001161728.2,NM_001161727.2,NM_000300.4	4	1
PLA2G2D	NM_012400.4,NM_001271814.1	2	1
PLA2G2F	NM_001360869.2,NM_022819.4	2	1
PLA2G2C	NM_001367969.1,NM_001316722.2	2	1
PINK1+MIR6084	NM_032409.3,NR_106732.1	2	2
DDOST+PINK1-AS	NR_046507.1,NM_005216.4	2	2
KIF17	NM_020816.4,NM_001122819.3,NM_001287212.2	3	1
SH2D5	NM_001103160.2,NM_001103161.2	2	1
HP1BP3	NM_001372052.1,NM_016287.5	2	1
EIF4G3	NM_003760.4,NM_001198802.2,NM_001198801.2,NM_001198803.2	4	1
ECE1	NM_001113349.2,NM_001397.3,NM_001113348.2,NM_001113347.2	4	1
NBPF3	NM_032264.5,NM_001256417.3,NM_001256416.3,NR_046176.3,NM_001330381.2	5	1
ALPL	NM_001369804.2,NM_001369805.2,NM_001177520.3,NM_001127501.4,NM_000478.6,NM_001369803.2	6	1
RAP1GAP	NM_002885.4,NM_001350527.2,NM_001145658.3,NM_001145657.3,NM_001350525.2,NM_001350524.2,NM_001330383.3,NM_001350526.2,NM_001350528.2	9	1
USP48	NM_001350168.2,NM_032236.8,NM_001350164.2,NM_001350167.2,NM_001350166.2,NM_001330394.2,NM_001032730.2	7	1
HSPG2	NM_005529.7,NM_001291860.2	2	1
LINC00339	NR_023918.2,NR_109761.1,NR_109760.1,NR_109762.1,NR_023919.2,NR_109759.1	6	1
CDC42	NM_044472.3,NM_001039802.2,NM_001791.4	3	1
ZBTB40	NM_001330398.1,NM_001083621.1,NM_014870.4	3	1
EPHA8	NM_001006943.3,NM_020526.5	2	1
C1QA	NM_001347465.2,NM_015991.4,NM_001347466.1	3	1
C1QC	NM_001347620.2,NM_172369.5,NM_001347619.2,NM_001114101.3	4	1
C1QB	NM_000491.5,NM_001371184.1	2	1
EPHB2	NM_017449.4,NM_004442.7,NM_001309192.2,NM_001309193.2	4	1
KDM1A	NM_001363654.2,NM_001009999.3,NM_015013.4	3	1
LUZP1	NM_001142546.1,NM_033631.4	2	1
HNRNPR	NM_005826.5,NM_001102397.3,NM_001297621.2,NM_001102399.3,NM_001297620.2,NM_001297622.2,NM_001102398.3	7	1
ZNF436	NM_030634.2,NM_001077195.2,NM_001370652.1	3	1
ZNF436-AS1	NR_033690.1,NR_033691.1	2	1
ASAP3	NM_017707.4,NM_001143778.2	2	1
RPL11	NM_001199802.1,NM_000975.5	2	1
GALE	NM_001008216.2,NM_000403.4,NM_001127621.2	3	1
HMGCL	NM_001166059.1,NM_000191.3	2	1
SRSF10	NM_001191005.3,NM_001191006.3,NM_001300936.2,NM_001300937.2,NM_001191007.3,NM_006625.6,NM_001191009.3,NR_034035.3,NM_054016.4	9	1
IFNLR1	NM_173064.3,NM_170743.4,NM_173065.3	3	1
GRHL3	NM_001195010.2,NM_198174.3,NM_198173.3,NM_021180.3	4	1
STPG1	NM_001199013.2,NM_001199014.1,NM_001199012.1,NM_178122.4	4	1
NIPAL3	NM_001322854.1,NM_001322861.1,NM_001322856.1,NR_136506.1,NR_136508.1,NM_001322860.1,NM_001322864.1,NM_001322866.1,NM_001322868.1,NM_001322862.1,NM_001330409.1,NM_001322859.1,NR_136507.1,NM_001322855.1,NM_001322858.1,NM_001322863.1,NM_001322865.2,NM_020448.5,NM_001322857.1	19	1
RCAN3AS	NR_045408.2,NR_045409.2,NR_045407.2,NR_144360.1	4	1
RCAN3	NM_001251979.2,NM_001251984.1,NM_013441.4,NM_001251977.2,NM_001251983.1,NM_001251981.1,NM_001251978.1,NM_001251985.1,NM_001251980.1,NM_001251982.1	10	1
SRRM1	NR_159382.1,NM_001366590.1,NR_159379.1,NM_001366570.1,NR_159389.1,NM_001366571.1,NM_001366588.1,NM_001366589.1,NM_001366567.1,NM_001366565.1,NM_001366569.1,NM_001366594.1,NM_001366599.1,NM_001366585.1,NM_001366581.1,NM_001366587.1,NM_001303448.2,NR_159384.1,NM_001366578.1,NM_001366582.1,NM_001366568.1,NM_001366575.1,NR_159386.1,NR_159383.1,NR_159387.1,NR_159385.1,NM_001366576.1,NM_001366600.1,NM_001366577.1,NM_001366584.1,NM_001366572.1,NM_001366592.1,NM_001366573.1,NM_001366591.1,NR_159388.1,NM_001366586.1,NR_159391.1,NR_159380.1,NM_001366566.1,NM_005839.4,NM_001366593.1,NR_159378.1,NM_001366595.1,NM_001303449.1,NM_001366597.1,NM_001366596.1,NM_001366598.1,NR_159390.1	48	1
RUNX3	NM_001320672.1,NM_001031680.2,NM_004350.3	3	1
SYF2	NM_207170.4,NM_015484.5	2	1
RSRP1	NR_135777.1,NR_135787.1,NM_001321772.1,NR_135780.1,NR_135778.1,NR_135789.1,NR_135782.1,NR_135781.1,NR_135788.1,NR_135783.1,NR_135785.1,NR_135144.1,NR_135143.1,NR_135786.2,NR_135784.2,NM_020317.5,NR_135791.1,NR_135793.1,NR_135790.1,NR_135792.1	20	1
RHD	NM_001282872.1,NM_001282867.1,NM_001282870.1,NM_016124.4,NM_001282868.1,NM_001127691.3,NM_001282869.2,NM_001282871.2	8	1
RHCE	NM_138618.5,NM_138616.4,NM_020485.5,NM_001330430.2,NM_138617.4	5	1
MACO1	NM_001282564.1,NM_018202.6	2	1
MAN1C1	NM_001289010.1,NM_020379.3	2	1
SELENON	NM_206926.2,NM_020451.3	2	1
MTFR1L	NM_001099627.1,NM_001099625.2,NM_019557.5,NM_001099626.1	4	1
AUNIP	NM_001287490.1,NM_024037.3	2	1
MIR3917+STMN1	NM_001145454.3,NM_203399.1,NM_203401.1,NM_005563.4,NR_037481.1	5	2
SLC30A2	NM_032513.5,NM_001004434.3	2	1
PDIK1L	NM_001243532.1,NM_001243533.2,NM_152835.5	3	1
C1orf232	NM_001364669.1,NM_001364667.1	2	1
CNKSR1	NM_001297648.2,NM_001297647.2,NM_006314.3	3	1
CEP85	NM_022778.5,NM_001319944.2,NM_001281517.3,NM_001281518.3	4	1
UBXN11	NM_001077262.1,NM_183008.2,NM_145345.2	3	1
ZNF683	NM_001307925.1,NM_001114759.2,NM_173574.3	3	1
DHDDS	NM_001243564.1,NM_001243565.1,NM_001319959.1,NM_024887.3,NM_205861.3	5	1
DHDDS-AS1	NR_125953.1,NR_125952.1	2	1
RPS6KA1	NM_002953.4,NM_001330441.2,NM_001006665.2	3	1
ARID1A	NM_139135.4,NM_006015.6	2	1
PIGV	NM_017837.3,NM_001202554.1	2	1
SLC9A1	NR_046474.2,NM_003047.5	2	1
WDTC1	NM_015023.5,NM_001276252.2	2	1
TMEM222	NM_032125.2,NR_037577.2,NR_037580.2,NR_037576.2	4	1
SYTL1	NM_001193308.2,NM_032872.3	2	1
MAP3K6	NM_004672.5,NM_001297609.2	2	1
FCN3	NM_003665.3,NM_173452.2	2	1
CD164L2	NM_207397.5,NM_001330448.1	2	1
WASF2	NM_006990.5,NM_001201404.3	2	1
AHDC1	NM_001371928.1,NM_001029882.3	2	1
FGR	NM_001042729.2,NM_005248.3,NM_001042747.1	3	1
IFI6	NM_022873.3,NM_022872.3,NM_002038.4	3	1
FAM76A	NM_001143912.2,NM_001143914.2,NM_001143915.2,NM_001143913.2,NM_152660.3	5	1
PPP1R8	NM_138558.3,NM_014110.5,NM_002713.4	3	1
THEMIS2	NM_004848.3,NM_001286115.1,NM_001286113.1,NM_001039477.2,NM_001105556.3	5	1
RPA2	NM_001286076.1,NM_001297558.1,NM_001355128.1,NM_002946.5,NM_001355129.1	5	1
SMPDL3B	NM_001009568.2,NM_001304579.2,NM_014474.4	3	1
EYA3	NM_001282561.1,NM_001990.4,NM_001282562.1,NM_001282560.2,NR_104214.1	5	1
PTAFR	NM_000952.5,NM_001164721.1,NM_001164722.3,NM_001164723.3	4	1
DNAJC8	NR_159454.1,NM_014280.3	2	1
ATP5IF1	NM_178191.2,NM_016311.5,NM_178190.3	3	1
MED18	NM_001127350.2,NM_017638.3	2	1
PHACTR4	NM_001350158.2,NM_001350159.2,NM_001350161.2,NM_001350160.2,NM_001048183.3,NM_023923.4	6	1
RCC1+SNHG3	NR_002909.2,NM_001048199.2,NR_036473.1,NR_030725.2,NR_030726.2,NM_001048194.3,NM_001269.5,NM_001048195.3	8	2
TRNAU1AP	NR_003109.1,NM_017846.5	2	1
SNORA44+SNORA61+SNHG12	NR_146381.1,NR_024127.2,NR_146386.1,NR_146385.1,NR_146383.1,NR_146387.1,NR_146382.1,NR_146384.1,NR_002987.1,NR_002976.1	10	3
RAB42	NM_152304.3,NM_001193532.2	2	1
TAF12	NM_001135218.2,NM_005644.4	2	1
LINC01715+RNU11	NR_146731.1,NR_146730.1,NR_004407.1	3	2
GMEB1	NM_001319674.2,NM_006582.4,NM_024482.3	3	1
YTHDF2	NM_001173128.1,NM_001172828.2,NM_016258.3	3	1
EPB41	NM_001166005.1,NM_203342.2,NM_004437.4,NM_203343.3,NM_001166007.2,NM_001166006.1	6	1
TMEM200B	NM_001171868.1,NM_001003682.4	2	1
MECR	NM_001349713.2,NM_016011.5,NR_146214.2,NR_146213.2,NR_146212.2,NM_001349715.2,NM_001349714.2,NM_001349711.2,NM_001024732.4,NM_001349717.2,NR_146215.2,NM_001349712.2,NM_001349716.2	13	1
PTPRU	NM_133178.4,NM_001195001.2,NM_133177.4,NM_005704.5	4	1
PUM1	NM_001020658.2,NM_014676.3	2	1
ZCCHC17	NM_001282572.1,NM_001282573.1,NM_016505.3,NM_001282569.1,NM_001282568.1,NM_001282571.1,NM_001282570.1,NM_001282567.1,NM_001282574.1,NM_001282566.1	10	1
FABP3	NM_001320996.1,NM_004102.5	2	1
SERINC2	NM_001199038.2,NM_001199037.1,NM_178865.5,NM_001199039.2,NM_018565.3	5	1
TINAGL1	NM_001204414.1,NM_022164.3,NM_001204415.1	3	1
PEF1	NM_001359651.1,NR_033686.2,NM_012392.4	3	1
ADGRB2	NM_001364857.1,NM_001294336.2,NM_001294335.2	3	1
SPOCD1	NM_001281988.1,NM_144569.6,NM_001281987.1	3	1
PTP4A2	NM_001369860.1,NM_080391.4,NM_001195101.2,NM_001195100.2,NM_001369858.1,NM_001369859.1	6	1
KHDRBS1	NR_073498.2,NM_006559.3,NR_073499.2,NM_001271878.2	4	1
TMEM39B	NM_001319677.1,NM_018056.4,NM_001319679.2,NM_001319678.2	4	1
CCDC28B	NM_024296.4,NM_001301011.2	2	1
IQCC	NM_001160042.2,NM_018134.3	2	1
TMEM234	NR_133635.1,NR_133636.1,NM_019118.5,NR_133634.2,NM_001366191.2	5	1
LCK	NM_005356.5,NM_001330468.2,NM_001042771.2	3	1
MARCKSL1	NM_023009.7,NR_052852.2	2	1
BSDC1	NM_001143889.3,NR_125352.2,NM_018045.8,NM_001300958.2,NM_001143890.3,NM_001143888.3	6	1
ZBTB8A	NR_111980.2,NM_001291496.2,NM_001040441.3	3	1
ZBTB8OS	NM_001308135.2,NM_001366258.1,NM_001366270.1,NM_001366267.1,NM_001308137.2,NM_001308138.2,NR_158778.1,NR_158773.1,NM_001366263.1,NR_158775.1,NM_001308140.2,NR_158780.1,NM_001366269.1,NR_158774.1,NR_158781.1,NR_158777.1,NM_001308141.2,NR_158772.1,NM_001308136.2,NM_001366271.1,NR_158776.1,NM_001366260.1,NM_001366255.1,NM_001366266.1,NM_001366257.1,NR_158779.1,NM_001366256.1,NM_001366264.1,NM_178547.4,NM_001330475.2,NM_001308139.2,NM_001366265.1,NM_001366268.1,NM_001366259.1,NR_158782.1,NM_001366278.1	36	1
RBBP4	NM_001135255.2,NM_005610.3,NM_001135256.1	3	1
SYNC	NM_001161708.2,NM_030786.3	2	1
KIAA1522	NM_020888.3,NM_001369553.1,NM_001198972.2,NM_001198973.2	4	1
S100PBP	NM_001256121.1,NM_022753.4,NR_135106.1,NR_135107.1	4	1
FNDC5	NM_153756.3,NM_001171940.1,NM_001171941.3	3	1
TMEM54	NM_001329722.2,NM_033504.4,NM_001329725.2,NM_001329723.2,NM_001329724.2	5	1
RNF19B	NM_001127361.3,NM_001300826.2,NM_153341.4	3	1
AK2	NM_001199199.2,NM_013411.5,NR_134976.2,NM_001319142.2,NM_001319139.2,NM_001319141.2,NM_001625.4,NM_001319140.1,NM_001319143.1	9	1
AZIN2	NM_001350401.2,NM_001350399.2,NM_001301824.2,NR_146648.2,NM_052998.4,NM_001350400.2,NR_146649.2,NM_001350398.2,NM_001301823.2,NM_001293562.2,NM_001350402.1,NR_126031.1,NM_001301826.1,NM_001301825.1	14	1
TRIM62	NM_018207.3,NM_001330483.1	2	1
ZNF362	NM_152493.3,NM_001370212.1	2	1
PHC2+MIR3605	NM_001330488.1,NM_198040.2,NM_004427.4,NR_037400.1	4	2
CSMD2	NM_052896.4,NM_001281956.1	2	1
HMGB4	NM_145205.5,NM_001352984.2	2	1
C1orf94	NM_032884.5,NM_001134734.2	2	1
GJB3	NM_024009.3,NM_001005752.2	2	1
SMIM12	NM_001320261.2,NM_001164825.2,NM_001164824.1,NM_138428.6	4	1
ZMYM1	NM_001289088.1,NM_001289091.1,NM_001289089.1,NM_001319955.1,NM_001289090.1,NM_024772.5	6	1
SFPQ	NR_136703.1,NR_136702.1,NM_005066.3	3	1
ZMYM4	NM_005095.3,NM_001350139.2,NM_001350140.2,NM_001350138.2	4	1
NCDN	NM_001014839.1,NM_001014841.1,NM_014284.3	3	1
PSMB2	NM_001199780.1,NM_001199779.2,NM_002794.5	3	1
C1orf216	NM_001348691.1,NM_152374.2	2	1
CLSPN	NM_001330490.2,NM_022111.4,NM_001190481.2	3	1
AGO4	NR_146062.2,NM_017629.4	2	1
AGO1	NM_001317123.1,NM_001317122.1,NM_012199.5	3	1
AGO3	NM_024852.4,NM_177422.3	2	1
COL8A2	NM_001294347.2,NM_005202.4	2	1
TRAPPC3	NM_001270895.1,NM_001270897.1,NM_001270894.1,NM_001270896.2,NM_014408.5,NR_073098.2,NR_073097.2	7	1
MAP7D1	NM_018067.5,NM_001286366.2,NM_001286365.2	3	1
THRAP3	NM_001321471.2,NM_005119.4,NM_001321473.2	3	1
SH3D21	NM_001162530.2,NM_024676.5	2	1
EVA1B	NM_018166.2,NM_001304762.2,NR_130899.2	3	1
STK40	NM_032017.3,NM_001282546.2,NM_001282547.2	3	1
OSCP1	NM_145047.5,NM_001330493.1,NM_206837.3	3	1
CSF3R	NM_000760.4,NM_172313.3,NM_156039.3	3	1
ZC3H12A	NM_025079.3,NM_001323550.2,NM_001323551.2	3	1
MEAF6	NR_073090.2,NM_001270876.2,NR_073091.2,NM_022756.6,NR_073092.2,NM_001270875.2	6	1
GNL2	NM_001323624.1,NM_001323623.1,NM_013285.3	3	1
RSPO1	NM_001242910.2,NM_001242908.2,NM_001242909.2,NM_001038633.4	4	1
C1orf109	NM_001350769.2,NM_001350764.2,NM_001350761.2,NM_001350755.2,NM_001350767.2,NM_001303030.2,NM_001350760.2,NM_001350756.2,NM_001350757.2,NM_001350771.2,NM_001350768.2,NM_001350766.2,NM_001350758.2,NM_001350770.2,NM_017850.3,NM_001350765.2,NM_001303031.2,NM_001350762.2,NM_001350759.2,NM_001350763.2	20	1
CDCA8	NM_018101.4,NM_001256875.2	2	1
EPHA10	NM_001099439.2,NM_173641.2	2	1
MANEAL	NM_001031740.2,NM_001113482.1,NM_152496.2	3	1
C1orf122	NM_198446.3,NM_001142726.1	2	1
INPP5B	NR_158630.1,NM_001297434.2,NM_001365825.1,NM_001350228.1,NR_158629.1,NR_158628.1,NM_001365824.1,NR_158631.1,NM_001365821.1,NM_001350227.2,NM_005540.3,NM_001365823.1,NM_001365822.1,NM_001365820.1	14	1
SF3A3	NM_006802.4,NM_001320830.2	2	1
FHL3	NM_001243878.2,NM_004468.5	2	1
RRAGC	NM_001271851.2,NM_022157.4	2	1
