gene	transcript	n_transcript	n_gene
WRAP73	NM_017818.4	1	1
CCDC27	NM_152492.3	1	1
LRRC47	NM_020710.3	1	1
CEP104	NM_014704.4	1	1
C1orf174	NM_207356.3	1	1
LINC01134	NR_024455.1	1	1
LINC01346	NR_040065.1	1	1
LINC01345	NR_147024.1	1	1
LINC01777	NR_027088.1	1	1
LINC01646	NR_147025.1	1	1
MIR4689	NR_039838.1	1	1
CHD5	NM_015557.3	1	1
RPL22	NM_000983.4	1	1
LOC102724450	NR_125997.1	1	1
RNF207	NM_207396.3	1	1
ICMT	NM_012405.4	1	1
LINC00337	NR_103534.1	1	1
HES3	NM_001024598.4	1	1
GPR153	NM_207370.4	1	1
HES2	NM_019089.5	1	1
MIR4252	NR_036218.1	1	1
NOL9	NM_024654.5	1	1
PHF13	NM_153812.3	1	1
DNAJC11	NM_018198.4	1	1
CAMTA1-DT	NR_149049.1	1	1
VAMP3	NM_004781.4	1	1
TNFRSF9	NM_001561.6	1	1
ERRFI1	NM_018948.4	1	1
LINC01714	NR_125998.1	1	1
SLC45A1	NM_001080397.2	1	1
RERE-AS1	NR_125999.1	1	1
SNORD128	NR_132752.1	1	1
MIR6728	NR_106786.1	1	1
ENO1-AS1	NR_038351.1	1	1
SLC2A7	NM_207420.2	1	1
GPR157	NM_024980.5	1	1
LNCTAM34A	NR_132738.1	1	1
SPSB1	NM_025106.4	1	1
SLC25A33	NM_032315.3	1	1
PIK3CD-AS1	NR_027045.1	1	1
TMEM274P	NR_158969.1	1	1
MIR5697	NR_049882.1	1	1
PEX14	NM_004565.3	1	1
TARDBP	NM_007375.3	1	1
SRM	NM_003132.3	1	1
MTOR	NM_004958.4	1	1
MTOR-AS1	NR_046600.1	1	1
ANGPTL7	NM_021146.4	1	1
DISP3	NM_020780.2	1	1
LINC01647	NR_104624.1	1	1
FBXO2	NM_012168.6	1	1
FBXO6	NM_018438.6	1	1
DRAXIN	NM_198545.4	1	1
C1orf167	NM_001010881.2	1	1
C1orf167-AS1	NR_126000.1	1	1
NPPA	NM_006172.4	1	1
NPPB	NM_002521.3	1	1
RNU5E-1	NR_002754.2	1	1
KIAA2013	NM_138346.3	1	1
MIIP	NM_021933.4	1	1
MIR6729	NR_106787.1	1	1
MIR4632	NR_039775.2	1	1
SNORA59A	NR_003025.1	1	1
MIR6730	NR_106788.2	1	1
AADACL4	NM_001013630.1	1	1
PRAMEF12	NM_001080830.4	1	1
LINC01784	NR_146629.1	1	1
PRAMEF11	NM_001146344.3	1	1
HNRNPCL1	NM_001013631.2	1	1
PRAMEF2	NM_023014.1	1	1
PRAMEF4	NM_001009611.4	1	1
PRAMEF10	NM_001039361.4	1	1
PRAMEF7	NM_001012277.4	1	1
PRAMEF6	NM_001010889.2	1	1
PRAMEF18	NM_001099850.2	1	1
PRAMEF34P	NR_111947.1	1	1
HNRNPCL2	NM_001136561.3	1	1
PRAMEF36P	NR_111945.1	1	1
PRAMEF25	NM_001310134.1	1	1
PRAMEF5	NM_001013407.2	1	1
PRAMEF33	NM_001291381.1	1	1
PRAMEF13	NM_001291380.1	1	1
PRAMEF8	NM_001012276.3	1	1
PRAMEF15	NM_001098376.3	1	1
PRAMEF14	NM_001024661.2	1	1
PRAMEF19	NM_001099790.2	1	1
PRAMEF17	NM_001099851.3	1	1
PRAMEF20	NM_001099852.2	1	1
LRRC38	NM_001010847.2	1	1
KAZN-AS1	NR_149058.1	1	1
TMEM51-AS1	NR_027136.1	1	1
FHAD1	NM_052929.2	1	1
EFHD2	NM_024329.6	1	1
CTRC	NM_007272.3	1	1
CELA2A	NM_033440.3	1	1
CELA2B	NM_015849.3	1	1
SCARNA21B	NR_135613.1	1	1
AGMAT	NM_024758.5	1	1
PLEKHM2	NM_015164.4	1	1
SLC25A34	NM_207348.3	1	1
SLC25A34-AS1	NR_149050.1	1	1
TMEM82	NM_001013641.3	1	1
UQCRHL	NM_001089591.1	1	1
FLJ37453	NR_024279.1	1	1
SPEN	NM_015001.3	1	1
SRARP	NM_178840.4	1	1
FAM131C	NM_182623.3	1	1
ARHGEF19	NM_153213.5	1	1
CPLANE2	NM_030907.4	1	1
FBXO42	NM_018994.3	1	1
CROCCP3	NR_023386.1	1	1
RNU1-1	NR_004430.2	1	1
LINC01783	NR_135764.1	1	1
NBPF1	NM_017940.6	1	1
CROCCP2	NR_026752.1	1	1
MST1P2	NR_027504.1	1	1
RNU1-3	NR_004408.1	1	1
ESPNP	NR_026567.1	1	1
RNU1-4	NR_004421.1	1	1
MIR3675	NR_037446.1	1	1
RNU1-2	NR_004427.1	1	1
CROCC	NM_014675.5	1	1
SDHB	NM_003000.3	1	1
PADI2	NM_007365.3	1	1
LINC02783	NR_148993.1	1	1
PADI1	NM_013358.3	1	1
PADI3	NM_016233.2	1	1
MIR3972	NR_039768.1	1	1
PADI4	NM_012387.3	1	1
PADI6	NM_207421.4	1	1
ACTL8	NM_030812.3	1	1
LINC01654	NR_125946.1	1	1
IGSF21	NM_032880.5	1	1
KLHDC7A	NM_152375.2	1	1
TAS1R2	NM_152232.2	1	1
MIR4695	NR_039844.2	1	1
MIR1290	NR_031622.1	1	1
IFFO2	NM_001136265.2	1	1
UBR4	NM_020765.3	1	1
MRTO4	NM_016183.4	1	1
AKR7A3	NM_012067.3	1	1
LOC100506730	NR_037847.1	1	1
LOC105378614	NR_135054.1	1	1
RPS14P3	NR_077246.1	1	1
HTR6	NM_000871.3	1	1
RNF186	NM_019062.2	1	1
OTUD3	NM_015207.2	1	1
PLA2G2E	NM_014589.3	1	1
PLA2G5	NM_000929.3	1	1
UBXN10-AS1	NR_110078.1	1	1
UBXN10	NM_152376.5	1	1
LINC01757	NR_147205.1	1	1
VWA5B1	NM_001039500.3	1	1
LINC01141	NR_033887.1	1	1
CAMK2N1	NM_018584.6	1	1
MUL1	NM_024544.3	1	1
FAM43B	NM_207334.3	1	1
CDA	NM_001785.3	1	1
MIR1256	NR_031657.1	1	1
ECE1-AS1	NR_038404.1	1	1
LDLRAD2	NM_001013693.3	1	1
CELA3B	NM_007352.4	1	1
CELA3A	NM_005747.5	1	1
LINC01635	NR_110692.1	1	1
WNT4	NM_030761.5	1	1
MIR4418	NR_039613.1	1	1
MIR6127	NR_106742.1	1	1
MIR4684	NR_039832.1	1	1
MIR4253	NR_036214.1	1	1
LACTBL1	NM_001289974.2	1	1
TEX46	NM_001242521.2	1	1
MIR3115	NR_036057.1	1	1
HTR1D	NM_000864.4	1	1
LINC01355	NR_110616.1	1	1
TCEA3	NM_003196.3	1	1
E2F2	NM_004091.4	1	1
LOC101928163	NR_110799.1	1	1
ID3	NM_002167.5	1	1
MDS2	NM_001348075.2	1	1
ELOA	NM_003198.2	1	1
ELOA-AS1	NR_038280.1	1	1
PITHD1	NM_020362.5	1	1
LYPLA2	NM_007260.3	1	1
FUCA1	NM_000147.4	1	1
CNR2	NM_001841.3	1	1
MIR378F	NR_039615.1	1	1
PNRC2	NM_017761.4	1	1
MYOM3	NM_152372.4	1	1
IL22RA1	NM_021258.4	1	1
LINC02800	NR_027087.2	1	1
NCMAP-DT	NR_109781.1	1	1
NCMAP	NM_001010980.5	1	1
CLIC4	NM_013943.3	1	1
MIR6731	NR_106789.1	1	1
MIR4425	NR_039623.1	1	1
TMEM50A	NM_014313.4	1	1
LDLRAP1	NM_015627.3	1	1
LOC646471	NR_024498.1	1	1
PAQR7	NM_178422.5	1	1
PAFAH2	NM_000437.4	1	1
EXTL1	NM_004455.3	1	1
TRIM63	NM_032588.3	1	1
FAM110D	NM_024869.3	1	1
ZNF593	NM_015871.5	1	1
CATSPER4	NM_198137.1	1	1
ZPLD2P	NR_110698.1	1	1
SH3BGRL3	NM_031286.4	1	1
CD52	NM_001803.3	1	1
CRYBG2	NM_001039775.3	1	1
LIN28A	NM_024674.6	1	1
HMGN2	NM_005517.4	1	1
MIR1976	NR_031740.1	1	1
LOC101928728	NR_135804.1	1	1
ZDHHC18	NM_032283.3	1	1
SFN	NM_006142.5	1	1
GPN2	NM_018066.4	1	1
GPATCH3	NM_022078.3	1	1
NR0B2	NM_021969.3	1	1
NUDC	NM_006600.4	1	1
KDF1	NM_152365.3	1	1
TRNP1	NM_001013642.3	1	1
TENT5B	NM_052943.4	1	1
ACTG1P20	NR_033926.1	1	1
GPR3	NM_005281.4	1	1
LINC02574	NR_151722.1	1	1
STX12	NM_177424.3	1	1
SCARNA1	NR_002997.1	1	1
XKR8	NM_018053.4	1	1
SESN2	NM_031459.5	1	1
SNORA73A	NR_002907.2	1	1
SNORA73B	NR_004404.2	1	1
SNORD99	NR_003077.1	1	1
SNORA16A	NR_003035.1	1	1
OPRD1	NM_000911.4	1	1
SRSF4	NM_005626.5	1	1
LINC01756	NR_110758.1	1	1
LINC01648	NR_110790.1	1	1
MATN1	NM_002379.3	1	1
MATN1-AS1	NR_034182.1	1	1
LAPTM5	NM_006762.3	1	1
MIR4420	NR_039616.1	1	1
LINC01778	NR_146732.1	1	1
SDC3	NM_014654.4	1	1
SNORD103A	NR_004054.2	1	1
SNORD103B	NR_033295.1	1	1
SNORD103C	NR_003066.1	1	1
NKAIN1	NM_024522.3	1	1
SNRNP40	NM_004814.3	1	1
LDC1P	NR_034112.2	1	1
LINC01226	NR_027085.1	1	1
HCRTR1	NM_001525.2	1	1
COL16A1	NM_001856.4	1	1
MIR4254	NR_036216.1	1	1
MIR5585	NR_049850.1	1	1
KPNA6	NM_012316.5	1	1
TXLNA	NM_175852.4	1	1
DCDC2B	NM_001099434.1	1	1
EIF3I	NM_003757.3	1	1
MTMR9LP	NR_026850.1	1	1
FAM167B	NM_032648.3	1	1
HDAC1	NM_004964.3	1	1
FAM229A	NM_001167676.1	1	1
TSSK3	NM_052841.4	1	1
ZBTB8B	NM_001145720.2	1	1
YARS1	NM_003680.3	1	1
HPCA	NM_002143.3	1	1
A3GALT2	NM_001080438.1	1	1
PHC2-AS1	NR_125978.1	1	1
ZSCAN20	NM_145238.4	1	1
CSMD2-AS1	NR_038372.1	1	1
MIR552	NR_030278.1	1	1
GJB5	NM_005268.4	1	1
GJB4	NM_153212.3	1	1
GJA4	NM_002060.3	1	1
DLGAP3	NM_001080418.3	1	1
LOC653160	NR_037869.1	1	1
TMEM35B	NM_001195156.1	1	1
ZMYM6	NM_007167.4	1	1
ZMYM4-AS1	NR_046659.1	1	1
KIAA0319L	NM_024874.5	1	1
TFAP2E	NM_178548.4	1	1
TEKT2	NM_014466.3	1	1
ADPRHL2	NM_017825.3	1	1
LSM10	NM_032881.3	1	1
SNORA63C	NR_145725.1	1	1
MRPS15	NM_031280.4	1	1
GRIK3	NM_000831.4	1	1
MIR4255	NR_036217.1	1	1
LINC01137	NR_038842.1	1	1
MIR6732	NR_106790.1	1	1
MIR5581	NR_049844.1	1	1
SNIP1	NM_024700.4	1	1
DNALI1	NM_003462.5	1	1
YRDC	NM_024640.4	1	1
MTF1	NM_005955.3	1	1
UTP11	NM_016037.4	1	1
POU3F1	NM_002699.4	1	1
MIR3659	NR_037432.1	1	1
LINC01343	NR_038928.1	1	1
LINC01685	NR_146761.1	1	1
LOC105378663	NR_135048.1	1	1
MACF1	NM_012090.5	1	1
KIAA0754	NM_015038.2	1	1
BMP8A	NM_181809.4	1	1
OXCT2P1	NR_132962.1	1	1
PABPC4-AS1	NR_125979.1	1	1
SNORA55	NR_002983.1	1	1
HEYL	NM_014571.4	1	1
NT5C1A	NM_032526.2	1	1
BMP8B	NM_001720.5	1	1
OXCT2	NM_022120.2	1	1
LOC101929536	NR_135805.1	1	1
RLF	NM_012421.4	1	1
TMCO2	NM_001008740.4	1	1
ZMPSTE24	NM_005857.5	1	1
COL9A2	NM_001852.4	1	1
ZNF684	NM_152373.4	1	1
RIMS3	NM_014747.3	1	1
NFYC-AS1	NR_024567.1	1	1
MIR30E	NR_029846.1	1	1
MIR30C1	NR_029833.1	1	1
CITED4	NM_133467.3	1	1
SLFNL1-AS1	NR_037868.1	1	1
FOXO6	NM_001291281.3	1	1
FOXO6-AS1	NR_135817.1	1	1
GUCA2B	NM_007102.3	1	1
GUCA2A	NM_033553.3	1	1
RIMKLA	NM_173642.4	1	1
TMEM269-DT	NR_133055.1	1	1
TMEM269	NM_001354602.1	1	1
SVBP	NM_199342.4	1	1
LOC339539	NR_104171.1	1	1
SLC2A1	NM_006516.3	1	1
SLC2A1-AS1	NR_033967.1	1	1
FAM183A	NM_001101376.3	1	1
MIR6733	NR_106791.1	1	1
MPL	NM_005373.3	1	1
CDC20	NM_001255.3	1	1
MIR6734	NR_106792.1	1	1
SZT2-AS1	NR_046744.1	1	1
MIR6735	NR_106793.1	1	1
KDM4A	NM_014663.3	1	1
KDM4A-AS1	NR_033827.1	1	1
LOC101929592	NR_125986.1	1	1
MIR6079	NR_106727.1	1	1
IPO13	NM_014652.4	1	1
KLF17	NM_173484.4	1	1
KLF18	NM_001358438.1	1	1
SNORA110	NR_132966.1	1	1
MIR5584	NR_049849.1	1	1
SNORD145	NR_145816.1	1	1
ARMH1	NM_001145636.2	1	1
RNU5F-1	NR_002753.5	1	1
RNU5D-1	NR_002755.3	1	1
SNORD160	NR_145793.1	1	1
RPS8	NM_001012.2	1	1
SNORD55	NR_000015.2	1	1
SNORD46	NR_000024.2	1	1
SNORD38A	NR_001456.1	1	1
SNORD38B	NR_001457.1	1	1
BEST4	NM_153274.3	1	1
PLK3	NM_004073.4	1	1
TCTEX1D4	NM_001013632.3	1	1
BTBD19	NM_001136537.1	1	1
HECTD3	NM_024602.6	1	1
ZSWIM5	NM_020883.2	1	1
LINC01144	NR_024270.1	1	1
HPDL	NM_032756.3	1	1
TOE1	NM_025077.4	1	1
GPBP1L1	NM_021639.5	1	1
RPS15AP10	NR_026768.1	1	1
TMEM69	NM_016486.4	1	1
LOC101929626	NR_125987.1	1	1
TSPAN1	NM_005727.4	1	1
LURAP1	NM_001013615.3	1	1
LRRC41	NM_006369.4	1	1
FAAH	NM_001441.3	1	1
FAAHP1	NR_045483.1	1	1
LINC01398	NR_121680.1	1	1
TMEM275	NM_001357063.3	1	1
MKNK1-AS1	NR_038403.1	1	1
EFCAB14	NM_014774.3	1	1
CYP4Z2P	NR_002788.2	1	1
CYP4Z1	NM_178134.3	1	1
LINC00853	NR_047498.1	1	1
PDZK1IP1	NM_005764.4	1	1
LINC01389	NR_126355.1	1	1
FOXE3	NM_012186.3	1	1
FOXD2-AS1	NR_026878.1	1	1
FOXD2	NM_004474.4	1	1
TRABD2B	NM_001194986.2	1	1
SKINT1L	NR_026749.2	1	1
AGBL4-AS1	NR_125988.1	1	1
AGBL4-IT1	NR_046839.1	1	1
DMRTA2	NM_032110.3	1	1
FAF1	NM_007051.3	1	1
MIR4421	NR_039617.1	1	1
MIR6500	NR_106754.1	1	1
C1orf185	NM_001136508.2	1	1
LINC01562	NR_147076.1	1	1
RNF11	NM_014372.5	1	1
TTC39A-AS1	NR_123731.1	1	1
CALR4P	NR_161259.1	1	1
RAB3B	NM_002867.4	1	1
TXNDC12-AS1	NR_126385.1	1	1
PRPF38A	NM_032864.4	1	1
GPX7	NM_015696.5	1	1
COA7	NM_023077.3	1	1
ZYG11B	NM_024646.3	1	1
MAGOH	NM_002370.4	1	1
LOC100507564	NR_038953.1	1	1
LINC01771	NR_131923.1	1	1
SLC25A3P1	NR_002314.3	1	1
DMRTB1	NM_033067.2	1	1
MIR4781	NR_039942.1	1	1
SSBP3-AS1	NR_103541.1	1	1
FAM151A	NM_176782.3	1	1
PARS2	NM_152268.4	1	1
DHCR24	NM_014762.4	1	1
TMEM61	NM_182532.3	1	1
BSND	NM_057176.3	1	1
USP24	NM_015306.3	1	1
LOC100507634	NR_038320.1	1	1
MIR4422HG	NR_146283.1	1	1
MIR4422	NR_039618.1	1	1
LINC01753	NR_147162.1	1	1
LINC01755	NR_147161.1	1	1
LINC01767	NR_147163.1	1	1
PLPP3	NM_003713.5	1	1
LOC101929935	NR_135111.1	1	1
PRKAA2	NM_006252.4	1	1
FYB2	NM_001004303.5	1	1
C8A	NM_000562.3	1	1
OMA1	NM_145243.5	1	1
TACSTD2	NM_002353.3	1	1
MYSM1	NM_001085487.3	1	1
JUN	NM_002228.4	1	1
LINC01358	NR_110626.2	1	1
HSD52	NR_027120.1	1	1
MIR4711	NR_039861.1	1	1
LOC101926944	NR_110627.1	1	1
HOOK1	NM_015888.6	1	1
C1orf87	NM_152377.3	1	1
LINC01748	NR_146508.1	1	1
LOC101926964	NR_110628.1	1	1
NFIA-AS1	NR_104180.1	1	1
MGC34796	NR_073400.1	1	1
MIR12132	NR_162146.1	1	1
MIR3116-1	NR_036058.1	1	1
MIR3116-2	NR_036059.1	1	1
ANGPTL3	NM_014495.4	1	1
LINC00466	NR_038252.3	1	1
FOXD3	NM_012183.3	1	1
MIR6068	NR_106716.1	1	1
ALG6	NM_013339.4	1	1
EFCAB7	NM_032437.4	1	1
DLEU2L	NR_002771.1	1	1
MIR4794	NR_039957.1	1	1
LINC01359	NR_119383.1	1	1
MIR3671	NR_037443.1	1	1
MIR101-1	NR_029516.1	1	1
PDE4B-AS1	NR_123718.1	1	1
MIR3117	NR_036060.1	1	1
TCTEX1D1	NM_152665.3	1	1
INSL5	NM_005478.4	1	1
SLC35D1	NM_015139.3	1	1
IL23R	NM_144701.3	1	1
GNG12	NM_018841.6	1	1
GNG12-AS1	NR_040077.1	1	1
DIRAS3	NM_004675.4	1	1
MIR1262	NR_031664.1	1	1
RPE65	NM_000329.3	1	1
DEPDC1-AS1	NR_110671.1	1	1
LINC01707	NR_146608.1	1	1
LINC01758	NR_147164.1	1	1
PIN1P1	NR_023916.1	1	1
LRRC40	NM_017768.5	1	1
ANKRD13C	NM_030816.5	1	1
LINC01788	NR_125938.1	1	1
ZRANB2-AS1	NR_038420.1	1	1
MIR186	NR_029707.1	1	1
ZRANB2-AS2	NR_046217.1	1	1
NEGR1	NM_173808.3	1	1
NEGR1-IT1	NR_046218.1	1	1
LINC02238	NR_146300.1	1	1
ERICH3	NM_001002912.5	1	1
DLSTP1	NR_130749.1	1	1
SNORD45C	NR_003042.1	1	1
SNORD45A	NR_002749.1	1	1
SNORD45B	NR_002748.1	1	1
MSH4	NM_002440.4	1	1
LOC101927342	NR_125939.1	1	1
LINC02567	NR_149059.1	1	1
MIR7156	NR_106978.1	1	1
PIGK	NM_005482.3	1	1
NEXN-AS1	NR_103535.1	1	1
MGC27382	NR_027310.2	1	1
IFI44L	NM_006820.4	1	1
ADGRL4	NM_022159.4	1	1
LOC101927434	NR_125943.1	1	1
LINC01362	NR_147074.1	1	1
LINC01712	NR_146478.1	1	1
LINC01725	NR_119375.1	1	1
LOC101927560	NR_119374.1	1	1
UOX	NR_003927.2	1	1
RPF1	NM_025065.7	1	1
GNG5	NM_005274.3	1	1
SPATA1	NM_001310156.2	1	1
CTBS	NM_004388.3	1	1
LINC01461	NR_125761.1	1	1
LINC01555	NR_027379.1	1	1
LPAR3	NM_012152.3	1	1
MIR4423	NR_039619.1	1	1
SYDE2	NM_032184.2	1	1
LOC646626	NR_045484.1	1	1
CCN1	NM_001554.5	1	1
MIR7856	NR_107010.1	1	1
CLCA2	NM_006536.7	1	1
CLCA1	NM_001285.4	1	1
CLCA3P	NR_024604.1	1	1
LINC02801	NM_001290053.1	1	1
LINC01364	NR_038324.1	1	1
PKN2-AS1	NR_110682.1	1	1
GTF2B	NM_001514.6	1	1
GBP1	NM_002053.3	1	1
GBP2	NM_004120.5	1	1
GBP7	NM_207398.3	1	1
GBP4	NM_052941.5	1	1
LOC729930	NR_077244.1	1	1
GBP1P1	NR_003133.2	1	1
LRRC8C-DT	NR_033981.1	1	1
LRRC8C	NM_032270.5	1	1
GEMIN8P4	NR_002830.1	1	1
SNORD3G	NR_145742.1	1	1
BARHL2	NM_020063.2	1	1
LINC01763	NR_146610.1	1	1
HFM1	NM_001017975.5	1	1
EPHX4	NM_173567.5	1	1
SETSIP	NM_001287737.1	1	1
BTBD8	NM_183242.4	1	1
KIAA1107	NM_015237.4	1	1
C1orf146	NM_001012425.2	1	1
RPAP2	NM_024813.3	1	1
SNORD21	NR_000006.8	1	1
SNORA66	NR_002444.2	1	1
CCDC18-AS1	NR_034089.1	1	1
DR1	NM_001938.3	1	1
BCAR3-AS1	NR_034091.1	1	1
MIG7	NR_148965.1	1	1
MIR760	NR_030621.1	1	1
DNTTIP2	NM_014597.5	1	1
ABCA4	NM_000350.3	1	1
MIR12133	NR_162147.1	1	1
MIR378G	NR_039620.1	1	1
LOC729970	NR_033998.1	1	1
ALG14-AS1	NR_132786.1	1	1
LINC01760	NR_135588.1	1	1
LINC01650	NR_146486.1	1	1
LINC01761	NR_033966.1	1	1
LINC02790	NR_125991.1	1	1
LINC01787	NR_110693.1	1	1
DPYD-AS1	NR_046590.1	1	1
DPYD-AS2	NR_046591.1	1	1
LINC01930	NR_146275.1	1	1
MIR2682	NR_039604.1	1	1
LINC01776	NR_046088.1	1	1
LOC100129620	NR_033940.1	1	1
LINC01708	NR_125951.2	1	1
PALMD	NM_017734.5	1	1
MFSD14A	NM_033055.3	1	1
DBT	NM_001918.4	1	1
MIR553	NR_030279.1	1	1
GPR88	NM_022049.3	1	1
LINC01349	NR_038914.1	1	1
LOC102606465	NR_109849.1	1	1
LOC101928370	NR_104626.1	1	1
LINC01307	NR_126402.1	1	1
DNAJA1P5	NR_033424.2	1	1
ACTG1P4	NR_024438.2	1	1
AMY2A	NM_000699.3	1	1
AMY1B	NM_001008218.1	1	1
LOC100129138	NR_033990.1	1	1
LINC01677	NR_146609.1	1	1
LINC01661	NR_147165.1	1	1
PRMT6	NM_018137.3	1	1
MIR7852	NR_107006.1	1	1
VAV3-AS1	NR_046653.1	1	1
NBPF4	NM_001143989.2	1	1
FAM102B	NM_001010883.3	1	1
FNDC7	NM_001144937.3	1	1
STXBP3	NM_007269.4	1	1
TAF13	NM_005645.4	1	1
SCARNA2	NR_003023.1	1	1
CELSR2	NM_001408.3	1	1
SYPL2	NM_001040709.2	1	1
AMIGO1	NM_020703.4	1	1
GPR61	NM_031936.5	1	1
GNAT2	NM_005272.4	1	1
GSTM5	NM_000851.4	1	1
ALX3	NM_006492.3	1	1
LINC01397	NR_126382.1	1	1
UBL4B	NM_203412.2	1	1
SLC6A17	NM_001010898.4	1	1
LINC02586	NR_046546.1	1	1
RBM15-AS1	NR_036595.1	1	1
LAMTOR5	NM_006402.2	1	1
LAMTOR5-AS1	NR_102697.1	1	1
PROK1	NM_032414.3	1	1
CYMP	NR_003599.2	1	1
CYMP-AS1	NR_108042.2	1	1
KCNA10	NM_005549.2	1	1
CHIAP2	NR_003928.2	1	1
PGBP	NR_029429.1	1	1
OVGP1	NM_002557.4	1	1
ATP5PB	NM_001688.5	1	1
LINC01160	NR_034126.1	1	1
LOC107985184	NR_160737.1	1	1
LOC101928718	NR_125963.1	1	1
DDX20	NM_007204.5	1	1
KCND3-IT1	NR_046783.1	1	1
KCND3-AS1	NR_046619.1	1	1
LINC01750	NR_145438.1	1	1
CTTNBP2NL	NM_018704.3	1	1
MIR4256	NR_036210.1	1	1
CAPZA1	NM_006135.3	1	1
PPM1J	NM_005167.5	1	1
LINC01356	NR_103746.1	1	1
MIR11399	NR_162120.1	1	1
AKR7A2P1	NR_002796.2	1	1
LRIG2-DT	NR_103777.1	1	1
LOC643441	NR_038846.1	1	1
BCL2L15	NM_001010922.3	1	1
BCAS2	NM_005872.3	1	1
NRAS	NM_002524.5	1	1
NGF-AS1	NR_157569.1	1	1
NGF	NM_002506.3	1	1
CASQ2	NM_001232.3	1	1
LINC01649	NR_125969.1	1	1
LOC101928977	NR_125970.1	1	1
SLC22A15	NM_018420.3	1	1
MAB21L3	NM_152367.2	1	1
MIR548AC	NR_039621.1	1	1
MIR320B1	NR_031564.2	1	1
LINC02868	NR_149353.1	1	1
PTGFRN	NM_020440.4	1	1
LOC101929099	NR_110786.1	1	1
TTF2	NM_003594.4	1	1
MIR942	NR_030640.1	1	1
LINC01525	NR_126408.1	1	1
MAN1A2	NM_006699.5	1	1
LOC100996263	NR_121626.1	1	1
TENT5C	NM_017709.4	1	1
WDR3	NM_006784.3	1	1
SPAG17	NM_206996.4	1	1
WARS2-IT1	NR_126447.1	1	1
LINC01780	NR_146623.1	1	1
HAO2-IT1	NR_046780.1	1	1
HSD3BP4	NR_033781.1	1	1
LINC00622	NR_036540.1	1	1
ZNF697	NM_001080470.2	1	1
PHGDH	NM_006623.4	1	1
NBPF7	NM_001047980.2	1	1
ADAM30	NM_021794.4	1	1
SEC22B	NM_004892.6	1	1
LOC100996318	NR_158169.1	1	1
SRGAP2-AS1	NR_104189.1	1	1
EMBP1	NR_003955.1	1	1
ANKRD20A12P	NR_046228.1	1	1
LOC102723769	NR_110761.1	1	1
LOC653513	NR_037182.1	1	1
RNVU1-6	NR_104085.1	1	1
ANKRD34A	NM_001039888.4	1	1
LIX1L	NM_153713.3	1	1
LIX1L-AS1	NR_147182.1	1	1
RBM8A	NM_005105.4	1	1
PIAS3	NM_006099.3	1	1
MIR6736	NR_106794.1	1	1
NUDT17	NM_001012758.3	1	1
RNF115	NM_014455.4	1	1
LOC728989	NR_024442.2	1	1
RNVU1-8	NR_121645.1	1	1
NBPF13P	NR_103466.1	1	1
PDIA3P1	NR_002305.1	1	1
